FD_call,available_set,FD_response,count,probability
313,"311,313,314",313,57,0.7916666666666666
312,"311,312,313,314,315",315,116,0.017775053631627336
312,"311,312,313,314,315",313,630,0.09653692920625191
313,"311,312,313,315",312,203,0.1385665529010239
313,"311,313,315",313,362,0.9187817258883249
314,"311,312,313,315",312,994,0.5324049276914836
314,"311,313,315",315,154,0.35648148148148145
311,"311,313",311,48,0.96
313,"311,312,314",312,30,0.379746835443038
313,"311,312,313,314",312,38,0.06620209059233449
314,"312,313,314,315",313,34,0.044386422976501305
314,"312,314,315",312,18,0.15126050420168066
313,"311,313,314,315",314,178,0.172147001934236
315,"311,313,315",315,205,1.0
313,"312,313,315",313,88,0.7521367521367521
312,"311,313",313,50,0.746268656716418
313,"312,314,315",314,51,0.4146341463414634
312,"311,312,314,315",314,230,0.22051773729626079
312,"311,312,313,314,315",311,173,0.0265093472264787
312,"312,313,314,315",312,321,0.6432865731462926
314,"311,315",315,90,0.967741935483871
313,"312,314,315",312,72,0.5853658536585366
312,"311,312,313,314,315",314,723,0.11078761875574625
314,"313,315",315,18,0.3673469387755102
315,"311,312,313,314,315",312,145,0.022287119581924378
315,"311,313,314,315",314,85,0.183585313174946
313,"311,312,315",315,4,0.016
313,"311,312",312,22,0.88
312,"312,313,314,315",313,83,0.16633266533066132
313,"311,312,314,315",311,62,0.046686746987951805
312,"311,312,314,315",311,66,0.06327900287631831
312,"312,314,315",312,91,0.65
313,"311,312,313,314,315",314,906,0.08995234312946783
313,"311,314,315",314,221,0.85
315,"311,314,315",315,101,0.8416666666666667
312,"311,312,315",315,23,0.06284153005464481
315,"312,313,315",315,48,0.8727272727272727
314,"312,313,314",314,57,0.7916666666666666
314,"312,314,315",314,94,0.7899159663865546
313,"311,312,315",311,18,0.072
311,"311,312,315",311,141,0.8757763975155279
312,"311,312,313,314",313,45,0.09782608695652174
312,"311,312,314",314,17,0.19767441860465115
312,"311,312,313,315",313,210,0.17558528428093645
315,"312,314,315",315,46,0.9387755102040817
315,"311,312,313,315",312,84,0.0963302752293578
312,"311,313,314,315",311,111,0.09840425531914894
315,"311,312,313,314,315",314,405,0.06225023055640947
312,"311,312,315",312,302,0.825136612021858
311,"311,315",311,88,0.9777777777777777
313,"311,313,315",311,31,0.07868020304568528
313,"311,315",311,37,0.8409090909090909
314,"311,314,315",315,23,0.05623471882640587
314,"313,314,315",315,9,0.04918032786885246
314,"313,314",314,31,1.0
314,"311,314",314,51,0.9807692307692307
314,"311,312",312,67,0.9852941176470589
311,"311,312,313,315",312,64,0.10509031198686371
311,"311,313,315",313,16,0.08648648648648649
312,"311,313,315",313,225,0.6064690026954178
312,"311,312,315",311,41,0.11202185792349727
312,"312,315",312,40,0.8888888888888888
314,"311,312,313",312,212,0.7653429602888087
315,"312,313,314,315",312,10,0.0273972602739726
315,"313,314,315",315,61,0.953125
314,"312,313,315",313,31,0.248
311,"312,313,314",312,34,0.7906976744186046
312,"311,314,315",311,49,0.17253521126760563
311,"311,312,314",311,42,0.84
311,"313,314",313,6,0.6666666666666666
314,"311,313",313,66,1.0
314,"311,312,315",315,77,0.2047872340425532
313,"313,314",313,10,0.9090909090909091
312,"312,313,314,315",314,86,0.17234468937875752
312,"311,314,315",314,216,0.7605633802816901
314,"312,313,315",312,51,0.408
